Category,Indicator,Metro,Year_Desc,Year,Value,Formatted_Value,Rank,Rank_Order,Key_Indicator,Data_Type
Economy,Gross Regional Product Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015 (12-13 data),2015,0.035,3.50%,4,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016 (13-14 data),2016,0.04,4.00%,5,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017 (14-15 data),2017,0.038,3.80%,8,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2018 (15-16 data),2018,0.044,4.40%,3,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2019 (16-17 data),2019,0.029,2.90%,9,(highest to lowest),0,Percent
Economy,Yearly Job Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015 (12-13 data),2015,0.026723605112152993,2.67%,8,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016 (13-14 data),2016,0.03290324912038245,3.29%,6,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017 (14-15 data),2017,0.03243578568591336,3.24%,7,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2018 (15-16 data),2018,0.0320126619156933,3.20%,5,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2019 (16-17 data),2019,0.028,2.80%,2,(highest to lowest),1,Percent
Economy,Average Weekly Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015 (2013 data),2015,1011,"$1,011",8,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016 (2014 data),2016,1040,"$1,040",9,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017 (2015 data),2017,1069,"$1,069",9,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2018 (2016 data),2018,1094,"$1,094",9,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2019 (2017 data),2019,1126,"$1,126",9,(highest to lowest),0,Dollar
Economy,Jobs Paying a Family Sustaining Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015 (2013 data),2015,0.58700764542454,58.70%,9,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016 (2014 data),2016,0.584006476642,58.40%,12,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017 (2015 data),2017,0.5835916994916,58.36%,12,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2018 (2016 data),2018,0.6174216027874564,61.74%,9,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2019 (2017 data),2019,0.5891755489722994,58.92%,10,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015 (2013 data),2015,0.655,65.50%,8,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016 (2014 data),2016,0.6818181817182534,68.18%,3,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017 (2015 data),2017,0.6666666659492348,66.67%,5,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2018 (2016 data),2018,0.6595744680851063,65.96%,6,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2019 (2017 data),2019,0.6666666666666666,66.67%,5,(highest to lowest),0,Percent
Economy,Employment Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015 (2013 data),2015,0.05511002647030716,5.51%,4,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016 (2014 data),2016,0.06725028745553352,6.73%,7,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017 (2015 data),2017,0.05305672922262361,5.31%,5,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2018 (2016 data),2018,0.03686092632618254,3.69%,1,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Atlanta-Sandy Springs-Roswell, GA Metro Area",2019 (2017 data),2019,0.03961322718767657,3.96%,5,(lowest to highest),1,Percent
Economy,Gross Regional Product Growth,"Austin-Round Rock, TX Metro Area",2015 (12-13 data),2015,0.06,6.00%,1,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Austin-Round Rock, TX Metro Area",2016 (13-14 data),2016,0.054,5.40%,2,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Austin-Round Rock, TX Metro Area",2017 (14-15 data),2017,0.083,8.30%,1,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Austin-Round Rock, TX Metro Area",2018 (15-16 data),2018,0.055,5.50%,2,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Austin-Round Rock, TX Metro Area",2019 (16-17 data),2019,0.069,6.90%,1,(highest to lowest),0,Percent
Economy,Yearly Job Growth,"Austin-Round Rock, TX Metro Area",2015 (12-13 data),2015,0.04084051193699237,4.08%,2,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Austin-Round Rock, TX Metro Area",2016 (13-14 data),2016,0.04272234025824469,4.27%,1,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Austin-Round Rock, TX Metro Area",2017 (14-15 data),2017,0.046690123038231314,4.67%,1,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Austin-Round Rock, TX Metro Area",2018 (15-16 data),2018,0.033,3.30%,2,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Austin-Round Rock, TX Metro Area",2019 (16-17 data),2019,0.03263070793555241,3.26%,1,(highest to lowest),1,Percent
Economy,Average Weekly Wage,"Austin-Round Rock, TX Metro Area",2015 (2013 data),2015,1005,"$1,005",9,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Austin-Round Rock, TX Metro Area",2016 (2014 data),2016,1043,"$1,043",8,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Austin-Round Rock, TX Metro Area",2017 (2015 data),2017,1084,"$1,084",8,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Austin-Round Rock, TX Metro Area",2018 (2016 data),2018,1103,"$1,103",8,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Austin-Round Rock, TX Metro Area",2019 (2017 data),2019,1149,"$1,149",8,(highest to lowest),0,Dollar
Economy,Jobs Paying a Family Sustaining Wage,"Austin-Round Rock, TX Metro Area",2015 (2013 data),2015,0.5930008745549,59.30%,7,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Austin-Round Rock, TX Metro Area",2016 (2014 data),2016,0.606019787454,60.60%,9,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Austin-Round Rock, TX Metro Area",2017 (2015 data),2017,0.6072393708078079,60.72%,10,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Austin-Round Rock, TX Metro Area",2018 (2016 data),2018,0.6531875536081515,65.32%,3,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Austin-Round Rock, TX Metro Area",2019 (2017 data),2019,0.6175768157826078,61.76%,7,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2015 (2013 data),2015,0.65,65.00%,9,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2016 (2014 data),2016,0.6221198144356768,62.21%,8,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2017 (2015 data),2017,0.650759218336974,65.08%,6,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2018 (2016 data),2018,0.65,65.00%,8,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2019 (2017 data),2019,0.65625,65.62%,8,(highest to lowest),0,Percent
Economy,Employment Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2015 (2013 data),2015,0.04702099788269365,4.70%,3,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2016 (2014 data),2016,0.06391802554867265,6.39%,6,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2017 (2015 data),2017,0.05112672335262847,5.11%,4,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2018 (2016 data),2018,0.05031516218217169,5.03%,5,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Austin-Round Rock, TX Metro Area",2019 (2017 data),2019,0.034193844248669336,3.42%,3,(lowest to highest),1,Percent
Economy,Gross Regional Product Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2015 (12-13 data),2015,0.005,0.50%,10,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2016 (13-14 data),2016,0.022,2.20%,10,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2017 (14-15 data),2017,0.044,4.40%,7,(highest to lowest),0,Percent
